nomor,word,frekuensi,ln
1,cahaya,15,-6.939072243488087
2,njirr,4,-8.102223053293768
3,ngikutin,9,-7.409075872733823
4,cocok,32,-6.215153404261388
5,monyet,8,-7.514436388391649
6,yaelah,5,-7.919901496499813
7,anjir,34,-6.156312904238455
8,alis,7,-7.632219424048032
9,arap,8,-7.514436388391649
10,gilir,4,-8.102223053293768
11,youtuber,9,-7.409075872733823
12,modal,6,-7.765750816672555
13,parah,54,-5.704327780495397
14,lebay,47,-5.840459954819978
15,comment,10,-7.313765692929498
16,jola,8,-7.514436388391649
17,ajah,4,-8.102223053293768
18,nabung,7,-7.632219424048032
19,ibu,9,-7.409075872733823
20,kontrol,4,-8.102223053293768
21,bulu,9,-7.409075872733823
22,penasaran,3,-8.325366604607979
23,kesel,19,-6.715928692173877
24,tonton,11,-7.226754315939868
25,teriak,11,-7.226754315939868
26,jngn,3,-8.325366604607979
27,susu,11,-7.226754315939868
28,brow,3,-8.325366604607979
29,mewah,37,-6.074074806001483
30,arab,3,-8.325366604607979
31,tolol,27,-6.379456455552664
32,mulut,27,-6.379456455552664
33,turki,4,-8.102223053293768
34,samyang,71,-5.434994846711813
35,njirrr,4,-8.102223053293768
36,google,4,-8.102223053293768
37,ngeroko,5,-7.919901496499813
38,boongan,4,-8.102223053293768
39,gunung,3,-8.325366604607979
40,kameramennya,8,-7.514436388391649
41,pdhl,5,-7.919901496499813
42,ngejudge,3,-8.325366604607979
43,gede,33,-6.185300441111707
44,maksa,6,-7.765750816672555
45,tipu,9,-7.409075872733823
46,iriii,4,-8.102223053293768
47,dengerin,4,-8.102223053293768
48,jisoo,4,-8.102223053293768
49,kesi,3,-8.325366604607979
50,desain,3,-8.325366604607979
51,didownload,3,-8.325366604607979
52,way,3,-8.325366604607979
53,puting,3,-8.325366604607979
54,fokus,37,-6.074074806001483
55,presiden,3,-8.325366604607979
56,hari,30,-6.277673761242722
57,sadis,3,-8.325366604607979
58,ngumbar,4,-8.102223053293768
59,yng,8,-7.514436388391649
60,bayi,5,-7.919901496499813
61,lengkap,3,-8.325366604607979
62,binatang,8,-7.514436388391649
63,masak,35,-6.128142027271759
64,habibie,8,-7.514436388391649
65,hotel,34,-6.156312904238455
66,nunjukin,4,-8.102223053293768
67,dalem,8,-7.514436388391649
68,cwe,8,-7.514436388391649
69,teknologi,3,-8.325366604607979
70,jebak,3,-8.325366604607979
71,gilaaaa,3,-8.325366604607979
72,ato,3,-8.325366604607979
73,kaki,21,-6.6206185123695525
74,tabrak,3,-8.325366604607979
75,item,23,-6.533607135379923
76,ekspresi,4,-8.102223053293768
77,iriiii,3,-8.325366604607979
78,thumbnailnya,7,-7.632219424048032
79,balas,3,-8.325366604607979
80,garagara,3,-8.325366604607979
81,habis,23,-6.533607135379923
82,ganti,18,-6.767221986561428
83,kuda,3,-8.325366604607979
84,masalah,9,-7.409075872733823
85,dada,5,-7.919901496499813
86,saran,20,-6.667138528004446
87,putri,5,-7.919901496499813
88,pencet,5,-7.919901496499813
89,channel,12,-7.146711608266331
90,awas,8,-7.514436388391649
91,sms,5,-7.919901496499813
92,kgk,6,-7.765750816672555
93,bli,4,-8.102223053293768
94,palu,4,-8.102223053293768
95,kreatif,4,-8.102223053293768
96,ngambil,11,-7.226754315939868
97,black,4,-8.102223053293768
98,gedung,4,-8.102223053293768
99,gp,3,-8.325366604607979
100,capek,5,-7.919901496499813
101,idung,3,-8.325366604607979
102,muji,4,-8.102223053293768
103,nike,9,-7.409075872733823
104,muluu,4,-8.102223053293768
105,mngkn,3,-8.325366604607979
106,jaket,5,-7.919901496499813
107,homerun,5,-7.919901496499813
108,bayang,6,-7.765750816672555
109,serius,3,-8.325366604607979
110,bgini,3,-8.325366604607979
111,suara,34,-6.156312904238455
112,body,10,-7.313765692929498
113,sgt,5,-7.919901496499813
114,bangkok,5,-7.919901496499813
115,nikmat,4,-8.102223053293768
116,mood,3,-8.325366604607979
117,jumat,5,-7.919901496499813
118,gerak,6,-7.765750816672555
119,potong,11,-7.226754315939868
120,canda,9,-7.409075872733823
121,datang,6,-7.765750816672555
122,jgn,28,-6.344365135741395
123,icha,76,-5.367855543874184
