nomor,word,frekuensi,ln
1,sweet,13,-7.551261933917812
2,aminn,7,-8.110877721853234
3,minta,69,-5.941824021483711
4,ceritain,3,-8.804024902413179
5,tomboy,5,-8.398559794305015
6,jowo,3,-8.804024902413179
7,danau,4,-8.58088135109897
8,latuconsina,4,-8.58088135109897
9,ngerawat,4,-8.58088135109897
10,ost,3,-8.804024902413179
11,bedak,6,-8.244409114477756
12,yeezy,7,-8.110877721853234
13,vans,3,-8.804024902413179
14,suruh,14,-7.48226906243086
15,nyoba,3,-8.804024902413179
16,ketemu,71,-5.913653144517014
17,pancake,4,-8.58088135109897
18,gambar,8,-7.993094686196851
19,ngakakkk,4,-8.58088135109897
20,album,9,-7.887734170539025
21,hair,3,-8.804024902413179
22,ikbal,6,-8.244409114477756
23,tua,25,-6.932222725511588
24,homsel,3,-8.804024902413179
25,drop,4,-8.58088135109897
26,pattaya,10,-7.7924239907347
27,cwe,7,-8.110877721853234
28,berkah,3,-8.804024902413179
29,dewasa,9,-7.887734170539025
30,najis,13,-7.551261933917812
31,capai,4,-8.58088135109897
32,mukbang,10,-7.7924239907347
33,medan,15,-7.417730541293289
34,sedih,101,-5.565346450248799
35,jgn,25,-6.932222725511588
36,receh,3,-8.804024902413179
37,cwek,3,-8.804024902413179
38,hp,14,-7.48226906243086
39,saran,13,-7.551261933917812
40,suga,4,-8.58088135109897
41,wir,13,-7.551261933917812
42,assalamualaikum,5,-8.398559794305015
43,parkir,9,-7.887734170539025
44,good,17,-7.299947505636905
45,aaah,3,-8.804024902413179
46,xd,3,-8.804024902413179
47,aje,3,-8.804024902413179
48,sulit,3,-8.804024902413179
49,tlg,3,-8.804024902413179
50,masyarakat,3,-8.804024902413179
51,kandung,3,-8.804024902413179
52,semalem,3,-8.804024902413179
53,panutan,5,-8.398559794305015
54,pro,4,-8.58088135109897
55,klau,8,-7.993094686196851
56,rencana,5,-8.398559794305015
57,kang,33,-6.663958738916909
58,canda,6,-8.244409114477756
59,nyanyi,35,-6.60680032507696
60,slime,4,-8.58088135109897
61,dede,7,-8.110877721853234
62,april,34,-6.634971202043657
63,cut,3,-8.804024902413179
64,simple,5,-8.398559794305015
65,guru,8,-7.993094686196851
66,pulang,16,-7.3571059194768536
67,natasya,16,-7.3571059194768536
68,psti,5,-8.398559794305015
69,softlens,3,-8.804024902413179
70,sensor,10,-7.7924239907347
71,konten,25,-6.932222725511588
72,andai,3,-8.804024902413179
73,maut,4,-8.58088135109897
74,kesel,4,-8.58088135109897
75,kaos,7,-8.110877721853234
76,tukar,3,-8.804024902413179
77,soekarno,3,-8.804024902413179
78,varrel,4,-8.58088135109897
79,fav,3,-8.804024902413179
80,putri,38,-6.526757617403423
81,ultahnya,6,-8.244409114477756
82,lindung,6,-8.244409114477756
83,kuning,10,-7.7924239907347
84,serah,3,-8.804024902413179
85,kpopers,3,-8.804024902413179
86,eonni,15,-7.417730541293289
87,koko,5,-8.398559794305015
88,tlong,3,-8.804024902413179
89,nasib,8,-7.993094686196851
90,operasi,14,-7.48226906243086
91,ajakin,4,-8.58088135109897
92,sedia,4,-8.58088135109897
93,kuasa,3,-8.804024902413179
94,buruk,4,-8.58088135109897
95,truss,4,-8.58088135109897
96,cie,8,-7.993094686196851
97,bogor,3,-8.804024902413179
98,pilot,6,-8.244409114477756
99,kirain,9,-7.887734170539025
100,bat,8,-7.993094686196851
101,keluarga,36,-6.579401350888846
102,item,17,-7.299947505636905
103,nihh,6,-8.244409114477756
104,muda,10,-7.7924239907347
105,maksa,8,-7.993094686196851
106,wilver,20,-7.145796825809647
107,pda,3,-8.804024902413179
108,tamu,5,-8.398559794305015
109,pisang,10,-7.7924239907347
110,patung,5,-8.398559794305015
111,kondangan,5,-8.398559794305015
112,papa,9,-7.887734170539025
113,males,3,-8.804024902413179
114,dikomen,3,-8.804024902413179
115,balon,17,-7.299947505636905
116,dipake,7,-8.110877721853234
117,icha,34,-6.634971202043657
118,ngikutin,4,-8.58088135109897
119,ratus,4,-8.58088135109897
120,ngeselin,3,-8.804024902413179
121,kalu,6,-8.244409114477756
122,sdh,16,-7.3571059194768536
123,cwok,3,-8.804024902413179
124,this,5,-8.398559794305015
125,collab,10,-7.7924239907347
126,tebak,4,-8.58088135109897
127,mandi,14,-7.48226906243086
128,hilang,10,-7.7924239907347
129,selatan,3,-8.804024902413179
130,pause,4,-8.58088135109897
131,cucu,5,-8.398559794305015
132,kkkk,6,-8.244409114477756
133,laris,4,-8.58088135109897
134,balas,7,-8.110877721853234
135,adat,3,-8.804024902413179
136,luka,7,-8.110877721853234
137,ngos,4,-8.58088135109897
138,grat,12,-7.625369906071533
139,tuhhh,3,-8.804024902413179
140,maaf,32,-6.69381170206659
141,iqbaal,22,-7.05482504760392
142,garem,3,-8.804024902413179
143,begadang,9,-7.887734170539025
144,dateng,6,-8.244409114477756
145,exo,18,-7.2458802843666295
146,tampil,3,-8.804024902413179
147,dll,10,-7.7924239907347
148,gd,3,-8.804024902413179
149,beasiswa,4,-8.58088135109897
150,alm,3,-8.804024902413179
151,didik,3,-8.804024902413179
152,nontn,3,-8.804024902413179
153,capt,56,-6.1472679956985194
154,milik,11,-7.70541261374507
155,kemeja,4,-8.58088135109897
156,komen,46,-6.340171661823011
157,pisah,11,-7.70541261374507
158,anjir,22,-7.05482504760392
159,kembali,12,-7.625369906071533
160,dasar,4,-8.58088135109897
161,hijab,19,-7.194586989979079
162,sy,21,-7.0992768101747545
163,beliau,24,-6.97144343866487
164,merinding,14,-7.48226906243086
165,depe,3,-8.804024902413179
166,napas,4,-8.58088135109897
167,bumbu,3,-8.804024902413179
168,dokter,51,-6.239075544951643
169,bandung,15,-7.417730541293289
170,seruuu,6,-8.244409114477756
171,butuh,8,-7.993094686196851
172,jabat,3,-8.804024902413179
173,menang,9,-7.887734170539025
174,cina,4,-8.58088135109897
175,malang,8,-7.993094686196851
176,sesal,5,-8.398559794305015
177,kucar,5,-8.398559794305015
178,memek,3,-8.804024902413179
179,bangetttttt,7,-8.110877721853234
180,jennie,21,-7.0992768101747545
181,fans,38,-6.526757617403423
182,brpa,3,-8.804024902413179
183,tanboy,53,-6.201335216968796
184,perih,3,-8.804024902413179
185,vania,8,-7.993094686196851
186,barang,17,-7.299947505636905
187,nginap,4,-8.58088135109897
188,prili,4,-8.58088135109897
189,suara,74,-5.87283114999676
190,guah,3,-8.804024902413179
191,bandara,10,-7.7924239907347
192,kaku,3,-8.804024902413179
193,minyak,7,-8.110877721853234
194,gendut,6,-8.244409114477756
195,padang,3,-8.804024902413179
196,pintu,5,-8.398559794305015
197,sarah,6,-8.244409114477756
198,vidionya,14,-7.48226906243086
199,rubah,5,-8.398559794305015
200,tembok,3,-8.804024902413179
201,bersih,9,-7.887734170539025
202,makas,3,-8.804024902413179
203,sombong,9,-7.887734170539025
204,blue,3,-8.804024902413179
205,tanya,29,-6.789121881870915
206,house,5,-8.398559794305015
207,platinum,4,-8.58088135109897
208,power,4,-8.58088135109897
209,kakkk,10,-7.7924239907347
210,now,4,-8.58088135109897
211,istimewa,3,-8.804024902413179
212,comment,3,-8.804024902413179
213,please,23,-7.012265433185124
214,usa,7,-8.110877721853234
215,kurus,4,-8.58088135109897
216,bj,13,-7.551261933917812
217,bangetttt,3,-8.804024902413179
218,astagfirullah,3,-8.804024902413179
219,bangun,8,-7.993094686196851
220,maya,4,-8.58088135109897
221,bget,3,-8.804024902413179
222,hua,3,-8.804024902413179
223,ibu,47,-6.319118252625179
224,cwo,7,-8.110877721853234
225,syukur,6,-8.244409114477756
226,omong,6,-8.244409114477756
227,gaming,3,-8.804024902413179
228,belanja,10,-7.7924239907347
229,manja,9,-7.887734170539025
230,brdua,3,-8.804024902413179
231,tanggerang,3,-8.804024902413179
232,meet,3,-8.804024902413179
233,sahabat,24,-6.97144343866487
234,langsung,42,-6.429119147839508
235,datang,18,-7.2458802843666295
236,ajak,23,-7.012265433185124
237,gigi,4,-8.58088135109897
238,mending,27,-6.858114753357866
239,indira,61,-6.063184878487979
240,thun,3,-8.804024902413179
241,mesra,5,-8.398559794305015
242,celana,4,-8.58088135109897
243,rosa,5,-8.398559794305015
244,ngehina,3,-8.804024902413179
245,mini,4,-8.58088135109897
246,bosen,35,-6.60680032507696
247,apartemen,3,-8.804024902413179
248,korean,3,-8.804024902413179
249,lipstick,4,-8.58088135109897
250,kacau,3,-8.804024902413179
251,suasana,3,-8.804024902413179
252,kocakkk,3,-8.804024902413179
253,daftar,9,-7.887734170539025
254,presiden,9,-7.887734170539025
255,gaul,8,-7.993094686196851
256,kunci,3,-8.804024902413179
257,cemburu,8,-7.993094686196851
258,cuci,6,-8.244409114477756
259,backsoundnya,7,-8.110877721853234
260,drpd,4,-8.58088135109897
261,tyroid,4,-8.58088135109897
262,anjay,13,-7.551261933917812
263,smpai,4,-8.58088135109897
264,kangennn,4,-8.58088135109897
265,lewat,30,-6.756332059047923
266,thn,12,-7.625369906071533
267,beat,8,-7.993094686196851
268,arfak,3,-8.804024902413179
269,ngak,13,-7.551261933917812
270,surabaya,6,-8.244409114477756
271,laki,4,-8.58088135109897
272,dimna,6,-8.244409114477756
273,polos,3,-8.804024902413179
274,ting,16,-7.3571059194768536
275,palu,20,-7.145796825809647
276,jawab,39,-6.501439809419134
277,merk,3,-8.804024902413179
278,modal,5,-8.398559794305015
279,wahh,4,-8.58088135109897
280,buatt,3,-8.804024902413179
281,bngttt,3,-8.804024902413179
282,pgn,6,-8.244409114477756
283,duet,30,-6.756332059047923
284,urus,4,-8.58088135109897
285,umi,3,-8.804024902413179
286,maklum,4,-8.58088135109897
287,msih,4,-8.58088135109897
288,battle,3,-8.804024902413179
289,kerenn,6,-8.244409114477756
290,timur,7,-8.110877721853234
291,hadiah,5,-8.398559794305015
292,tdi,3,-8.804024902413179
293,hrus,4,-8.58088135109897
294,cocok,57,-6.129876252986651
295,mampir,26,-6.894482397528741
296,radikal,3,-8.804024902413179
297,gedung,16,-7.3571059194768536
298,nikmat,7,-8.110877721853234
299,budaya,7,-8.110877721853234
300,baris,4,-8.58088135109897
301,junior,28,-6.823023433546596
302,batam,11,-7.70541261374507
303,tunggal,3,-8.804024902413179
304,kantong,7,-8.110877721853234
305,new,4,-8.58088135109897
306,kosong,3,-8.804024902413179
307,basuh,3,-8.804024902413179
308,iqbal,43,-6.406129629614809
309,ldp,10,-7.7924239907347
310,gina,5,-8.398559794305015
311,alquran,4,-8.58088135109897
312,fec,3,-8.804024902413179
313,nyesel,5,-8.398559794305015
314,fidio,8,-7.993094686196851
315,depok,4,-8.58088135109897
316,ggs,3,-8.804024902413179
317,channelnya,4,-8.58088135109897
318,aliando,19,-7.194586989979079
319,background,3,-8.804024902413179
320,petakilan,3,-8.804024902413179
321,yaah,4,-8.58088135109897
322,tinggalin,4,-8.58088135109897
323,samaa,4,-8.58088135109897
324,gret,4,-8.58088135109897
325,poko,3,-8.804024902413179
326,jendela,4,-8.58088135109897
327,luk,3,-8.804024902413179
328,jagal,14,-7.48226906243086
329,pgen,3,-8.804024902413179
330,khas,6,-8.244409114477756
331,langit,3,-8.804024902413179
332,pleas,3,-8.804024902413179
333,brooo,3,-8.804024902413179
334,iky,39,-6.501439809419134
335,supermarket,5,-8.398559794305015
336,stop,5,-8.398559794305015
337,santai,7,-8.110877721853234
338,cit,3,-8.804024902413179
339,mahal,21,-7.0992768101747545
340,tabung,7,-8.110877721853234
341,juri,3,-8.804024902413179
342,hansol,31,-6.724583360733344
343,iniii,5,-8.398559794305015
344,prill,6,-8.244409114477756
345,yoora,50,-6.258493630808744
346,mulu,19,-7.194586989979079
347,skrng,15,-7.417730541293289
348,husky,13,-7.551261933917812
349,muncul,16,-7.3571059194768536
350,queen,4,-8.58088135109897
351,manusia,13,-7.551261933917812
352,anggun,3,-8.804024902413179
353,bantu,26,-6.894482397528741
354,soto,19,-7.194586989979079
355,with,6,-8.244409114477756
356,semangat,74,-5.87283114999676
357,goyang,5,-8.398559794305015
358,penasaran,11,-7.70541261374507
359,ramah,51,-6.239075544951643
360,tiroid,11,-7.70541261374507
361,rindu,13,-7.551261933917812
362,kyknya,6,-8.244409114477756
363,cup,3,-8.804024902413179
364,benci,4,-8.58088135109897
365,sedihhh,4,-8.58088135109897
366,market,4,-8.58088135109897
367,laen,3,-8.804024902413179
368,kadang,9,-7.887734170539025
369,bgtttt,4,-8.58088135109897
370,vidio,78,-5.820871411066048
371,kenal,43,-6.406129629614809
372,habibie,56,-6.1472679956985194
373,air,27,-6.858114753357866
374,bukit,4,-8.58088135109897
375,dewa,3,-8.804024902413179
376,sabun,7,-8.110877721853234
377,korea,148,-5.186372957587611
378,susah,25,-6.932222725511588
379,hijau,5,-8.398559794305015
380,kepiting,4,-8.58088135109897
381,bahagia,39,-6.501439809419134
382,maxim,4,-8.58088135109897
383,toko,4,-8.58088135109897
384,indah,37,-6.552733103806684
385,fens,5,-8.398559794305015
386,telur,7,-8.110877721853234
387,kesitu,6,-8.244409114477756
388,libur,17,-7.299947505636905
389,tangan,21,-7.0992768101747545
390,nambah,14,-7.48226906243086
391,guntur,14,-7.48226906243086
392,hobby,3,-8.804024902413179
393,bolong,3,-8.804024902413179
394,coy,5,-8.398559794305015
395,like,174,-5.025533289609556
396,ekspresi,6,-8.244409114477756
397,jenius,3,-8.804024902413179
398,surprise,3,-8.804024902413179
399,iket,4,-8.58088135109897
400,pao,28,-6.823023433546596
401,dsni,3,-8.804024902413179
402,manfaat,12,-7.625369906071533
403,durasi,7,-8.110877721853234
404,london,3,-8.804024902413179
405,mesin,3,-8.804024902413179
406,tahan,15,-7.417730541293289
407,nazwa,3,-8.804024902413179
408,ilang,11,-7.70541261374507
409,faa,15,-7.417730541293289
410,aldi,64,-6.015931993637433
411,wkwkwkwkwkwk,4,-8.58088135109897
412,fely,6,-8.244409114477756
413,sellu,3,-8.804024902413179
414,rmh,11,-7.70541261374507
415,badan,14,-7.48226906243086
416,trimakasih,3,-8.804024902413179
417,sholeh,3,-8.804024902413179
418,street,4,-8.58088135109897
419,kucing,33,-6.663958738916909
420,alas,3,-8.804024902413179
421,kasih,63,-6.031436180173398
422,pedes,24,-6.97144343866487
423,judul,116,-5.428145328735314
424,sedap,3,-8.804024902413179
425,live,4,-8.58088135109897
426,tarik,7,-8.110877721853234
427,parahhh,5,-8.398559794305015
428,taehyung,3,-8.804024902413179
429,ica,12,-7.625369906071533
430,demen,3,-8.804024902413179
431,belah,9,-7.887734170539025
432,karung,5,-8.398559794305015
433,verell,8,-7.993094686196851
434,pril,3,-8.804024902413179
435,colab,8,-7.993094686196851
436,taun,5,-8.398559794305015
437,tmen,3,-8.804024902413179
438,spatu,3,-8.804024902413179
439,lee,5,-8.398559794305015
440,salsa,9,-7.887734170539025
441,bunda,5,-8.398559794305015
442,gosip,3,-8.804024902413179
443,bls,3,-8.804024902413179
444,lisa,28,-6.823023433546596
445,tanah,13,-7.551261933917812
446,kambuh,3,-8.804024902413179
447,captain,10,-7.7924239907347
448,gila,33,-6.663958738916909
449,nice,7,-8.110877721853234
450,diam,9,-7.887734170539025
451,ngakakk,8,-7.993094686196851
452,biru,11,-7.70541261374507
453,komentar,23,-7.012265433185124
454,cute,12,-7.625369906071533
455,sblm,3,-8.804024902413179
456,gituu,3,-8.804024902413179
457,maen,13,-7.551261933917812
458,rapi,3,-8.804024902413179
459,halaman,3,-8.804024902413179
460,astaga,7,-8.110877721853234
461,krim,43,-6.406129629614809
462,utara,3,-8.804024902413179
463,nang,48,-6.298498965422444
464,bus,3,-8.804024902413179
465,mrk,5,-8.398559794305015
466,wkt,5,-8.398559794305015
467,auto,15,-7.417730541293289
468,persis,4,-8.58088135109897
469,snowbay,4,-8.58088135109897
470,bumi,5,-8.398559794305015
471,pimpin,9,-7.887734170539025
472,kmu,14,-7.48226906243086
473,main,76,-5.8465138416793865
474,dng,4,-8.58088135109897
475,kpn,8,-7.993094686196851
476,babi,6,-8.244409114477756
477,music,5,-8.398559794305015
478,jack,9,-7.887734170539025
479,macet,5,-8.398559794305015
480,pesta,4,-8.58088135109897
481,pesan,3,-8.804024902413179
482,njirr,5,-8.398559794305015
483,gitar,7,-8.110877721853234
484,hujat,3,-8.804024902413179
485,routine,9,-7.887734170539025
486,bkin,9,-7.887734170539025
487,raditya,4,-8.58088135109897
488,masyaallah,5,-8.398559794305015
489,syuting,7,-8.110877721853234
490,tower,6,-8.244409114477756
491,birthday,4,-8.58088135109897
492,mall,15,-7.417730541293289
493,bungkus,5,-8.398559794305015
494,baik,68,-5.956212758935811
495,jodoh,18,-7.2458802843666295
496,squishy,46,-6.340171661823011
497,respect,4,-8.58088135109897
498,sorry,10,-7.7924239907347
499,muter,3,-8.804024902413179
500,jaga,19,-7.194586989979079
501,mood,7,-8.110877721853234
502,kau,6,-8.244409114477756
503,hancur,4,-8.58088135109897
504,sebutin,3,-8.804024902413179
505,kerja,49,-6.278296258104924
506,duduk,11,-7.70541261374507
507,masalah,12,-7.625369906071533
508,cakep,19,-7.194586989979079
509,sayang,48,-6.298498965422444
510,subs,19,-7.194586989979079
511,untung,21,-7.0992768101747545
512,paopao,25,-6.932222725511588
513,wanita,6,-8.244409114477756
514,jalan,92,-5.657719770379814
515,raya,4,-8.58088135109897
516,tingkah,3,-8.804024902413179
517,eropa,3,-8.804024902413179
518,haji,6,-8.244409114477756
519,ngeliat,22,-7.05482504760392
520,barbie,3,-8.804024902413179
521,kerennn,5,-8.398559794305015
522,turut,22,-7.05482504760392
523,time,5,-8.398559794305015
524,ngliat,6,-8.244409114477756
525,sinetron,9,-7.887734170539025
526,puji,4,-8.58088135109897
527,nike,14,-7.48226906243086
528,yora,3,-8.804024902413179
529,ngelihat,3,-8.804024902413179
530,serasi,4,-8.58088135109897
531,tanda,14,-7.48226906243086
532,cba,3,-8.804024902413179
533,koki,4,-8.58088135109897
534,pingin,22,-7.05482504760392
535,hito,32,-6.69381170206659
536,sungai,4,-8.58088135109897
537,tahun,93,-5.647024481263066
538,love,52,-6.220027349980948
539,sederhana,9,-7.887734170539025
540,ipar,4,-8.58088135109897
541,mkin,4,-8.58088135109897
542,harap,17,-7.299947505636905
543,tradisi,3,-8.804024902413179
544,gadis,5,-8.398559794305015
545,panas,8,-7.993094686196851
546,humoris,5,-8.398559794305015
547,tanam,4,-8.58088135109897
548,tipe,8,-7.993094686196851
549,blh,4,-8.58088135109897
550,mewah,12,-7.625369906071533
551,hyperadapt,3,-8.804024902413179
552,dengerin,6,-8.244409114477756
553,perlu,11,-7.70541261374507
554,lahir,18,-7.2458802843666295
555,prily,9,-7.887734170539025
556,ade,7,-8.110877721853234
557,bosan,8,-7.993094686196851
558,nyambung,5,-8.398559794305015
559,selma,3,-8.804024902413179
560,sejuk,3,-8.804024902413179
561,guguk,4,-8.58088135109897
562,oke,11,-7.70541261374507
563,versi,11,-7.70541261374507
564,langkah,3,-8.804024902413179
565,gabisa,3,-8.804024902413179
566,double,7,-8.110877721853234
567,jidat,6,-8.244409114477756
568,angkat,7,-8.110877721853234
569,tsabina,8,-7.993094686196851
570,tonton,19,-7.194586989979079
571,soon,4,-8.58088135109897
572,charma,58,-6.112781819627351
573,tuhh,4,-8.58088135109897
574,calon,3,-8.804024902413179
575,arti,17,-7.299947505636905
576,koh,6,-8.244409114477756
577,sandra,11,-7.70541261374507
578,kamera,30,-6.756332059047923
579,reza,4,-8.58088135109897
580,ortu,6,-8.244409114477756
581,bangsa,16,-7.3571059194768536
582,living,3,-8.804024902413179
583,nontonnya,10,-7.7924239907347
584,goals,6,-8.244409114477756
585,efek,3,-8.804024902413179
586,mantan,17,-7.299947505636905
587,kapal,3,-8.804024902413179
588,warnain,3,-8.804024902413179
589,lombok,6,-8.244409114477756
590,madu,4,-8.58088135109897
591,chanyeol,3,-8.804024902413179
592,masya,5,-8.398559794305015
593,cat,4,-8.58088135109897
594,tawa,8,-7.993094686196851
595,botol,9,-7.887734170539025
596,tiada,5,-8.398559794305015
597,bsa,13,-7.551261933917812
598,jln,6,-8.244409114477756
599,huhuhu,3,-8.804024902413179
600,part,12,-7.625369906071533
601,habis,31,-6.724583360733344
602,lingkung,3,-8.804024902413179
603,nadia,3,-8.804024902413179
604,film,23,-7.012265433185124
605,lucky,4,-8.58088135109897
606,jatuh,15,-7.417730541293289
607,mantul,4,-8.58088135109897
608,konser,4,-8.58088135109897
609,pesawat,36,-6.579401350888846
610,sepatu,52,-6.220027349980948
611,gabung,6,-8.244409114477756
612,hahahahaha,8,-7.993094686196851
613,peluk,12,-7.625369906071533
614,logat,3,-8.804024902413179
615,ea,4,-8.58088135109897
616,cap,3,-8.804024902413179
617,polisi,3,-8.804024902413179
618,telat,9,-7.887734170539025
619,yes,4,-8.58088135109897
620,bebas,7,-8.110877721853234
621,warna,31,-6.724583360733344
622,yahhh,3,-8.804024902413179
623,cowok,24,-6.97144343866487
624,bubar,3,-8.804024902413179
625,jelek,6,-8.244409114477756
626,makasih,25,-6.932222725511588
627,bales,8,-7.993094686196851
628,big,15,-7.417730541293289
629,jauuuh,3,-8.804024902413179
630,beri,20,-7.145796825809647
631,bulu,5,-8.398559794305015
632,gombal,9,-7.887734170539025
633,laper,13,-7.551261933917812
634,purging,5,-8.398559794305015
635,hongkong,4,-8.58088135109897
636,adik,24,-6.97144343866487
637,uang,21,-7.0992768101747545
638,bidadari,3,-8.804024902413179
639,ngeliatin,4,-8.58088135109897
640,pakai,34,-6.634971202043657
641,nonton,225,-4.769784264260784
642,sendok,4,-8.58088135109897
643,puluh,6,-8.244409114477756
644,minum,19,-7.194586989979079
645,cb,3,-8.804024902413179
646,kagum,10,-7.7924239907347
647,natural,10,-7.7924239907347
