nomor,word,frekuensi,ln
1,cahaya,15,-7.018 
2,njirr,4,-8.182 
3,ngikutin,9,-7.488 
4,cocok,32,-6.294 
5,monyet,8,-7.594 
6,yaelah,5,-7.999 
7,anjir,34,-6.236 
8,alis,7,-7.711 
9,arap,8,-7.594 
10,gilir,4,-8.182 
11,youtuber,9,-7.488 
12,modal,6,-7.845 
13,parah,54,-5.784 
14,lebay,47,-5.920 
15,comment,10,-7.393 
16,jola,8,-7.594 
17,ajah,4,-8.182 
18,nabung,7,-7.711 
19,ibu,9,-7.488 
20,kontrol,4,-8.182 
21,bulu,9,-7.488 
22,penasaran,3,-8.405 
23,kesel,19,-6.795 
24,tonton,11,-7.306 
25,teriak,11,-7.306 
26,jngn,3,-8.405 
27,susu,11,-7.306 
28,brow,3,-8.405 
29,mewah,37,-6.153 
30,arab,3,-8.405 
31,tolol,27,-6.459 
32,mulut,27,-6.459 
33,turki,4,-8.182 
34,samyang,71,-5.514 
35,njirrr,4,-8.182 
36,google,4,-8.182 
37,ngeroko,5,-7.999 
38,boongan,4,-8.182 
39,gunung,3,-8.405 
40,kameramennya,8,-7.594 
41,pdhl,5,-7.999 
42,ngejudge,3,-8.405 
43,gede,33,-6.265 
44,maksa,6,-7.845 
45,tipu,9,-7.488 
46,iriii,4,-8.182 
47,dengerin,4,-8.182 
48,jisoo,4,-8.182 
49,kesi,3,-8.405 
50,desain,3,-8.405 
51,didownload,3,-8.405 
52,way,3,-8.405 
53,puting,3,-8.405 
54,ilang,14,-7.083 
55,fokus,37,-6.153 
56,presiden,3,-8.405 
57,hari,30,-6.357 
58,sadis,3,-8.405 
59,ngumbar,4,-8.182 
60,yng,8,-7.594 
61,bayi,5,-7.999 
62,lengkap,3,-8.405 
63,binatang,8,-7.594 
64,masak,35,-6.207 
65,habibie,8,-7.594 
66,hotel,34,-6.236 
67,nunjukin,4,-8.182 
68,dalem,8,-7.594 
69,cwe,8,-7.594 
70,teknologi,3,-8.405 
71,jebak,3,-8.405 
72,gilaaaa,3,-8.405 
73,ato,3,-8.405 
74,kaki,21,-6.700 
75,tabrak,3,-8.405 
76,item,23,-6.613 
77,ekspresi,4,-8.182 
78,iriiii,3,-8.405 
79,thumbnailnya,7,-7.711 
80,balas,3,-8.405 
81,garagara,3,-8.405 
82,habis,23,-6.613 
83,ganti,18,-6.847 
84,kuda,3,-8.405 
85,kadang,4,-8.182 
86,masalah,9,-7.488 
87,dada,5,-7.999 
88,saran,20,-6.746 
89,putri,5,-7.999 
90,pencet,5,-7.999 
91,channel,12,-7.226 
