nomor,word,frekuensi,ln
1,sweet,13,-7.618 
2,aminn,7,-8.178 
3,minta,69,-6.009 
4,ceritain,3,-8.871 
5,tomboy,5,-8.465 
6,jowo,3,-8.871 
7,danau,4,-8.648 
8,latuconsina,4,-8.648 
9,ngerawat,4,-8.648 
10,ost,3,-8.871 
11,bedak,6,-8.311 
12,yeezy,7,-8.178 
13,vans,3,-8.871 
14,suruh,14,-7.549 
15,nyoba,3,-8.871 
16,ketemu,71,-5.980 
17,pancake,4,-8.648 
18,thanks,11,-7.772 
19,gambar,8,-8.060 
20,ngakakkk,4,-8.648 
21,album,9,-7.955 
22,hair,3,-8.871 
23,tinggi,16,-7.424 
24,ikbal,6,-8.311 
25,tua,25,-6.999 
26,homsel,3,-8.871 
27,drop,4,-8.648 
28,pattaya,10,-7.859 
29,cwe,7,-8.178 
30,berkah,3,-8.871 
31,dewasa,9,-7.955 
32,najis,13,-7.618 
33,capai,4,-8.648 
34,mukbang,10,-7.859 
35,medan,15,-7.485 
36,sedih,101,-5.632 
37,jgn,25,-6.999 
38,receh,3,-8.871 
39,cwek,3,-8.871 
40,hp,14,-7.549 
41,saran,13,-7.618 
42,suga,4,-8.648 
43,wir,13,-7.618 
44,assalamualaikum,5,-8.465 
45,parkir,9,-7.955 
46,good,17,-7.367 
47,aaah,3,-8.871 
48,xd,3,-8.871 
49,aje,3,-8.871 
50,sulit,3,-8.871 
51,tlg,3,-8.871 
52,masyarakat,3,-8.871 
53,kandung,3,-8.871 
54,semalem,3,-8.871 
55,panutan,5,-8.465 
56,sukses,109,-5.557 
57,pro,4,-8.648 
58,klau,8,-8.060 
59,rencana,5,-8.465 
60,kang,33,-6.731 
61,canda,6,-8.311 
62,nyanyi,35,-6.674 
63,slime,4,-8.648 
64,dede,7,-8.178 
65,april,34,-6.702 
66,cut,3,-8.871 
67,simple,5,-8.465 
68,guru,8,-8.060 
69,pulang,16,-7.424 
70,natasya,16,-7.424 
71,psti,5,-8.465 
72,softlens,3,-8.871 
73,sensor,10,-7.859 
74,konten,25,-6.999 
75,andai,3,-8.871 
76,maut,4,-8.648 
77,kesel,4,-8.648 
78,kaos,7,-8.178 
79,tukar,3,-8.871 
80,soekarno,3,-8.871 
81,varrel,4,-8.648 
82,fav,3,-8.871 
83,putri,38,-6.594 
84,ultahnya,6,-8.311 
85,lindung,6,-8.311 
86,kuning,10,-7.859 
87,serah,3,-8.871 
88,kpopers,3,-8.871 
89,eonni,15,-7.485 
90,koko,5,-8.465 
91,tlong,3,-8.871 
92,nasib,8,-8.060 
93,operasi,14,-7.549 
94,ajakin,4,-8.648 
95,sedia,4,-8.648 
96,kuasa,3,-8.871 
97,buruk,4,-8.648 
98,truss,4,-8.648 
99,cie,8,-8.060 
100,bogor,3,-8.871 
101,pilot,6,-8.311 
102,kirain,9,-7.955 
103,bat,8,-8.060 
104,keluarga,36,-6.646 
105,item,17,-7.367 
106,nihh,6,-8.311 
107,muda,10,-7.859 
108,maksa,8,-8.060 
109,wilver,20,-7.213 
110,pda,3,-8.871 
111,tamu,5,-8.465 
112,pisang,10,-7.859 
113,patung,5,-8.465 
114,kondangan,5,-8.465 
115,produk,6,-8.311 
116,papa,9,-7.955 
117,males,3,-8.871 
118,dikomen,3,-8.871 
119,balon,17,-7.367 
120,dipake,7,-8.178 
121,icha,34,-6.702 
122,ngikutin,4,-8.648 
123,mirip,53,-6.268 
124,ratus,4,-8.648 
125,ngeselin,3,-8.871 
126,kalu,6,-8.311 
127,sdh,16,-7.424 
128,cwok,3,-8.871 
129,this,5,-8.465 
130,collab,10,-7.859 
131,tebak,4,-8.648 
132,mandi,14,-7.549 
133,hilang,10,-7.859 
134,selatan,3,-8.871 
135,pause,4,-8.648 
