view,class,subs,class
219200,RENDAH,181174,RENDAH
510917,RENDAH,430431,RENDAH
452335,RENDAH,447639,RENDAH
1302950,RENDAH,311327,RENDAH
588680,RENDAH,395701,RENDAH
4090692,TINGGI,1453549,TINGGI
1019457,RENDAH,348775,RENDAH
2253657,TINGGI,531961,RENDAH
1250560,RENDAH,685337,TINGGI
1120309,RENDAH,539591,RENDAH
1013573,RENDAH,184495,RENDAH
2333767,TINGGI,525250,RENDAH
1583694,TINGGI,531012,RENDAH
349568,RENDAH,203001,RENDAH
618295,RENDAH,505958,RENDAH
1689236,TINGGI,1152042,TINGGI
1983879,TINGGI,1620999,TINGGI
2134656,TINGGI,592337,TINGGI
2373942,TINGGI,694145,TINGGI
768625,RENDAH,823891,TINGGI
1825538,TINGGI,1434543,TINGGI
3591710,TINGGI,1866732,TINGGI
4564413,TINGGI,1825313,TINGGI
1664748,TINGGI,1410910,TINGGI
1638774,TINGGI,670064,TINGGI
2784020,TINGGI,3170737,TINGGI
3232716,TINGGI,1602600,TINGGI
2883031,TINGGI,822440,TINGGI
1858200,TINGGI,287832,RENDAH
4144855,TINGGI,1010681,TINGGI
1887472,TINGGI,1296115,TINGGI
1900984,TINGGI,731663,TINGGI
1766216,TINGGI,989179,TINGGI
6019411,TINGGI,1311291,TINGGI
6427740,TINGGI,2105828,TINGGI
850777,RENDAH,445520,RENDAH
1409861,TINGGI,1262790,TINGGI
4356621,TINGGI,1408091,TINGGI
5706824,TINGGI,1634706,TINGGI
2241788,TINGGI,1039369,TINGGI
47095,RENDAH,585987,TINGGI
174817,RENDAH,210925,RENDAH
99384,RENDAH,91254,RENDAH
44752,RENDAH,197032,RENDAH
460462,RENDAH,120083,RENDAH
1129666,RENDAH,50694,RENDAH
113883,RENDAH,852,RENDAH
8918,RENDAH,1355,RENDAH
29556,RENDAH,11875,RENDAH
351639,RENDAH,370228,RENDAH
20422,RENDAH,188105,RENDAH
739120,RENDAH,566942,TINGGI
573089,RENDAH,180534,RENDAH
2903,RENDAH,66,RENDAH
