nomor,word,frekuensi,ln
1,inu,4,-7.916
2,perdagangn,6,-7.579
3,jamet,7,-7.446
4,luas,5,-7.734
5,regisca,7,-7.446
6,titan,40,-5.812
7,hadeuu,7,-7.446
8,sby,9,-7.223
9,unyu,6,-7.579
10,dewa,5,-7.734
11,mandingan,9,-7.223
12,kekk,9,-7.223
13,irfan,4,-7.916
14,chalenge,4,-7.916
15,inimasabi,7,-7.446
16,tuinggggggg,21,-6.434
17,ngebahas,4,-7.916
18,air,28,-6.158
19,memprekenalkan,20,-6.481
20,huekk,18,-6.581
21,mknny,4,-7.916
22,pingsan,11,-7.040
23,villanueva,20,-6.481
24,nikahin,8,-7.328
25,kacamata,34,-5.970
26,ladang,26,-6.230
27,berat,7,-7.446
28,panti,9,-7.223
29,kualat,11,-7.040
30,tahi,5,-7.734
31,gek,4,-7.916
32,kabar,25,-6.267
33,habis,17,-6.635
34,tour,20,-6.481
35,belibet,9,-7.223
36,ikea,31,-6.060
37,skinny,9,-7.223
38,sukaa,9,-7.223
39,khan,35,-5.942
40,kuntilanak,5,-7.734
41,angle,6,-7.579
42,kenyang,13,-6.886
43,agustine,7,-7.446
44,mrasa,5,-7.734
45,usak,6,-7.579
46,burung,4,-7.916
47,scene,10,-7.127
48,samyangnya,28,-6.158
49,yakali,14,-6.817
50,pin,8,-7.328
51,kng,15,-6.753
52,iket,69,-5.277
53,laperrrrr,28,-6.158
54,piring,24,-6.306
55,ppap,7,-7.446
56,marahh,14,-6.817
57,yampun,4,-7.916
58,sampekkkk,6,-7.579
59,jogja,124,-4.697
60,gundul,4,-7.916
61,ilklan,6,-7.579
62,bpa,4,-7.916
63,dana,41,-5.788
64,chalange,14,-6.817
65,ngegrebek,21,-6.434
66,bangggggggettttt,14,-6.817
67,sumpa,18,-6.581
68,dowlot,9,-7.223
69,renangnyaa,16,-6.692
70,lgii,9,-7.223
71,plng,6,-7.579
72,ajjh,40,-5.812
73,gempaaa,21,-6.434
74,emper,5,-7.734
75,bge,4,-7.916
76,pertmanya,6,-7.579
77,pemirsah,33,-5.999
78,cupuuuuuuuuuuu,6,-7.579
79,eneg,6,-7.579
80,second,4,-7.916
81,bata,4,-7.916
82,liatt,4,-7.916
83,ihhhhh,15,-6.753
84,live,6,-7.579
85,mm,4,-7.916
86,lengkap,4,-7.916
87,hayoo,6,-7.579
88,monyet,6,-7.579
89,ngebiasin,8,-7.328
90,nyanyi,9,-7.223
91,gaasik,17,-6.635
92,menuhin,6,-7.579
93,waaahhh,6,-7.579
94,aaaaaaaaah,4,-7.916
95,pesek,7,-7.446
96,ubul,4,-7.916
97,kog,4,-7.916
98,shofiyan,4,-7.916
99,abdul,14,-6.817
100,gendutt,36,-5.914
101,pppfftt,4,-7.916
102,ush,29,-6.124
103,bungur,4,-7.916
104,enk,4,-7.916
105,sumph,8,-7.328
106,digituin,5,-7.734
107,varel,28,-6.158
108,dipakenya,99,-4.920
109,juri,6,-7.579
110,cepetcepet,6,-7.579
111,jt,35,-5.942
112,baso,77,-5.169
113,soanya,10,-7.127
114,lasak,21,-6.434
115,formal,4,-7.916
116,alaaayyy,4,-7.916
117,tinggalin,4,-7.916
118,kasur,4,-7.916
119,ajha,6,-7.579
120,jum,4,-7.916
121,sharini,5,-7.734
122,kersain,8,-7.328
123,dengar,6,-7.579
124,damya,9,-7.223
125,chichoo,77,-5.169
126,blacklightnya,27,-6.193
127,nyeseq,4,-7.916
128,ngakag,6,-7.579
129,lupa,6,-7.579
130,rahman,12,-6.960
131,aza,33,-5.999
132,ngamera,5,-7.734
133,pertiwi,7,-7.446
134,domg,5,-7.734
135,ngecas,23,-6.347
136,iko,6,-7.579
137,iihh,11,-7.040
138,mewahh,7,-7.446
139,business,10,-7.127
140,nginep,4,-7.916
141,akutuhh,5,-7.734
142,ngerjain,18,-6.581
143,peduli,10,-7.127
144,anjiir,8,-7.328
145,twice,28,-6.158
146,butul,71,-5.249
147,yaduuuu,4,-7.916
148,sungging,4,-7.916
149,bengang,4,-7.916
150,nunjukin,8,-7.328
151,sombonggg,4,-7.916
152,iiiiii,9,-7.223
153,solat,11,-7.040
154,gadeget,4,-7.916
155,rangin,7,-7.446
156,nabrak,16,-6.692
157,artikel,5,-7.734
158,pasang,7,-7.446
159,time,11,-7.040
160,hhehehe,32,-6.029
161,sgt,5,-7.734
162,ngakakk,5,-7.734
163,nieh,6,-7.579
164,krja,12,-6.960
165,gitar,5,-7.734
166,kiding,8,-7.328
167,mmng,7,-7.446
168,cream,5,-7.734
169,asem,4,-7.916
170,pinky,8,-7.328
171,store,6,-7.579
172,prettt,10,-7.127
173,bapak,4,-7.916
174,bangettttttttttttt,39,-5.836
175,caplok,109,-4.825
176,gnti,4,-7.916
177,jerumus,4,-7.916
178,felitoo,4,-7.916
179,great,5,-7.734
180,nasya,4,-7.916
181,pedovil,22,-6.390
182,kalimantan,5,-7.734
183,berjiblap,33,-5.999
184,keak,8,-7.328
185,dnger,18,-6.581
186,budiman,4,-7.916
187,jordan,7,-7.446
188,mutilasi,11,-7.040
189,timpa,4,-7.916
190,peace,6,-7.579
191,durasi,6,-7.579
192,foundation,5,-7.734
193,katain,24,-6.306
194,membazir,4,-7.916
195,record,4,-7.916
196,dithailand,14,-6.817
197,suee,4,-7.916
198,kering,5,-7.734
199,headphone,7,-7.446
200,dih,4,-7.916
201,pengap,5,-7.734
202,baja,5,-7.734
203,njay,15,-6.753
204,hito,6,-7.579
205,bumi,12,-6.960
206,pecah,4,-7.916
207,kogh,5,-7.734
208,penting,6,-7.579
209,jawa,10,-7.127
210,noob,11,-7.040
211,seleb,54,-5.518
212,souvenirnya,21,-6.434
213,bahasa,9,-7.223
214,arrogant,8,-7.328
215,yooooooooo,4,-7.916
216,tmnnya,4,-7.916
217,bgtu,5,-7.734
218,maco,6,-7.579
219,dipost,5,-7.734
220,busung,4,-7.916
221,wikwikwik,10,-7.127
222,ngentod,4,-7.916
223,rakyat,5,-7.734
224,transletenya,4,-7.916
225,diturutin,16,-6.692
226,ald,13,-6.886
227,zahwa,10,-7.127
228,syarief,8,-7.328
229,brooo,6,-7.579
230,another,4,-7.916
231,mohon,7,-7.446
232,iso,5,-7.734
233,rapi,8,-7.328
234,jeh,7,-7.446
235,overprice,21,-6.434
236,muncrat,6,-7.579
237,marsela,18,-6.581
238,lebayyy,4,-7.916
239,wuuuu,7,-7.446
