nomor,word,frekuensi,ln
1,kesini,5,-7.604
2,parah,82,-4.977
3,orng,4,-7.787
4,natural,13,-6.757
5,subscriber,8,-7.199
6,sexy,7,-7.317
7,tidur,12,-6.831
8,jauh,10,-6.998
9,sukaa,4,-7.787
10,qna,4,-7.787
11,baca,13,-6.757
12,cobain,6,-7.450
13,turut,9,-7.093
14,soto,7,-7.317
15,pantai,5,-7.604
16,versi,4,-7.787
17,kangen,47,-5.525
18,bibir,8,-7.199
19,nuri,4,-7.787
20,back,5,-7.604
21,fans,11,-6.911
22,thailand,25,-6.138
23,tambah,32,-5.900
24,taman,6,-7.450
25,senyum,11,-6.911
26,gula,6,-7.450
27,masuk,14,-6.688
28,suami,5,-7.604
29,wudhu,4,-7.787
30,tinggal,32,-5.900
31,kuat,10,-6.998
32,nyadar,5,-7.604
33,resep,4,-7.787
34,ilang,17,-6.506
35,kang,13,-6.757
36,negara,7,-7.317
37,muncul,12,-6.831
38,beri,4,-7.787
39,pipi,8,-7.199
40,pintar,27,-6.064
41,jidat,4,-7.787
42,rencana,4,-7.787
43,merk,6,-7.450
44,supermarket,7,-7.317
45,agatha,6,-7.450
46,pikir,5,-7.604
47,agama,4,-7.787
48,fauna,4,-7.787
49,simple,4,-7.787
50,vidio,36,-5.785
51,sabtu,4,-7.787
52,liatin,4,-7.787
53,jawab,37,-5.758
54,suruh,8,-7.199
55,ngeliat,17,-6.506
56,nginap,4,-7.787
57,gabung,4,-7.787
58,banding,4,-7.787
59,setujuu,4,-7.787
60,cakep,10,-6.998
61,deket,26,-6.100
62,butuh,4,-7.787
63,mobil,15,-6.623
64,kaget,4,-7.787
65,bangeet,4,-7.787
66,grit,4,-7.787
67,sampe,46,-5.546
68,binatang,18,-6.452
69,jack,9,-7.093
70,openingnya,4,-7.787
71,kapsul,30,-5.962
72,pacar,20,-6.352
73,lokasi,9,-7.093
74,berat,6,-7.450
75,family,4,-7.787
76,utara,5,-7.604
77,bkin,7,-7.317
78,ite,6,-7.450
79,sedih,9,-7.093
80,manusia,7,-7.317
81,keluar,12,-6.831
82,kesitu,6,-7.450
83,ending,5,-7.604
84,obat,65,-5.206
85,always,6,-7.450
86,malem,7,-7.317
87,kucar,5,-7.604
88,baby,7,-7.317
89,chanel,7,-7.317
90,gaes,4,-7.787
91,kasir,8,-7.199
92,stop,6,-7.450
93,maaf,12,-6.831
94,mesum,9,-7.093
95,terima,10,-6.998
96,mewah,23,-6.218
97,bersih,14,-6.688
98,nadaaa,6,-7.450
99,ajar,4,-7.787
100,humoris,5,-7.604
101,pasmina,6,-7.450
102,mulu,25,-6.138
103,draw,6,-7.450
104,asal,14,-6.688
105,beruntus,4,-7.787
106,baju,32,-5.900
107,pasar,5,-7.604
108,paket,5,-7.604
109,hadir,4,-7.787
110,misal,7,-7.317
111,nungguin,4,-7.787
112,sombong,4,-7.787
113,plastik,10,-6.998
114,dalem,4,-7.787
115,yatim,4,-7.787
116,hebat,19,-6.400
117,part,8,-7.199
118,kangkung,5,-7.604
119,mampet,4,-7.787
120,cecepy,15,-6.623
121,lindung,4,-7.787
122,nunggu,9,-7.093
123,ajarin,6,-7.450
124,mantan,9,-7.093
125,siang,5,-7.604
126,sharing,4,-7.787
127,tipe,5,-7.604
128,konsul,5,-7.604
129,taiwan,6,-7.450
130,tato,4,-7.787
131,latih,6,-7.450
132,sabar,8,-7.199
133,fokus,8,-7.199
134,akhirnyaaa,4,-7.787
135,biru,5,-7.604
136,sumpah,56,-5.353
137,tiga,4,-7.787
138,bilang,25,-6.138
139,kamera,22,-6.261
140,ganti,11,-6.911
141,durasi,13,-6.757
142,ngedit,8,-7.199
143,apah,4,-7.787
144,snowbay,8,-7.199
145,pedas,4,-7.787
146,pedes,12,-6.831
147,kerennn,4,-7.787
148,post,6,-7.450
149,youtu,7,-7.317
150,aamiin,9,-7.093
151,kembali,6,-7.450
152,ikut,23,-6.218
153,pakek,6,-7.450
154,lafal,6,-7.450
155,https,8,-7.199
156,parrot,4,-7.787
157,perosot,11,-6.911
158,amin,13,-6.757
159,cabe,6,-7.450
160,mini,4,-7.787
161,ngefans,4,-7.787
162,makeup,10,-6.998
163,komedo,5,-7.604
164,minyak,12,-6.831
165,subscribers,5,-7.604
166,konsultasi,8,-7.199
167,pluit,6,-7.450
168,luka,4,-7.787
169,susu,4,-7.787
170,malam,22,-6.261
171,komplit,6,-7.450
172,reply,4,-7.787
173,camera,4,-7.787
174,guys,11,-6.911
175,mirip,29,-5.995
176,wktu,4,-7.787
177,mbak,14,-6.688
178,wajib,4,-7.787
179,cindy,21,-6.305
180,mudah,5,-7.604
181,cocok,23,-6.218
182,goreng,6,-7.450
183,efek,6,-7.450
184,bangga,4,-7.787
185,irpan,6,-7.450
186,subhanallah,5,-7.604
187,cerita,17,-6.506
188,tips,34,-5.841
189,hilang,8,-7.199
190,gritte,18,-6.452
191,jenis,6,-7.450
192,cute,6,-7.450
193,batam,7,-7.317
194,banci,7,-7.317
195,sakit,11,-6.911
196,sukak,7,-7.317
197,kesana,21,-6.305
198,begadang,15,-6.623
199,duit,5,-7.604
200,pinter,35,-5.813
201,please,18,-6.452
202,tolong,15,-6.623
203,semangat,23,-6.218
204,cover,4,-7.787
205,jerawat,188,-4.154
206,keep,5,-7.604
207,like,38,-5.733
208,thank,7,-7.317
209,kakaw,8,-7.199
210,bahagia,12,-6.831
211,nyetir,6,-7.450
212,pisang,8,-7.199
213,alamat,19,-6.400
214,belah,5,-7.604
215,takut,18,-6.452
216,irfan,133,-4.498
217,manis,12,-6.831
218,slalu,11,-6.911
219,indomie,31,-5.930
220,mantap,30,-5.962
221,pashmina,8,-7.199
222,luas,4,-7.787
223,gina,10,-6.998
224,cuman,15,-6.623
225,anjir,6,-7.450
226,lucuuuu,6,-7.450
227,model,4,-7.787
228,pintu,4,-7.787
229,kpn,6,-7.450
230,diet,11,-6.911
231,item,9,-7.093
232,treatment,6,-7.450
233,assalamualaikum,6,-7.450
234,mati,4,-7.787
235,tuli,7,-7.317
236,buru,4,-7.787
237,dengar,5,-7.604
238,senang,10,-6.998
239,purging,17,-6.506
240,nambah,4,-7.787
241,jakarta,22,-6.261
242,pause,4,-7.787
243,kepala,5,-7.604
244,jepang,13,-6.757
245,rambut,21,-6.305
246,alhamdulillah,10,-6.998
